Run ReferenceCount
ERR424115 52
ERR424118 58
ERR424211 49
ERR424102 47
ERR424219 46
ERR424101 44
ERR424229 53
ERR424288 54
ERR424166 51
ERR424242 51
ERR424127 61
ERR424234 53
ERR424290 40
ERR424130 58
ERR424209 50
ERR424108 49
ERR424215 50
ERR424123 47
ERR424228 49
ERR424255 48
ERR424153 61
ERR424265 51
ERR424225 57
ERR424188 37
ERR424222 57
ERR424235 57
ERR424105 47
ERR424129 59
ERR424145 49
ERR424186 46
ERR424264 50
ERR424169 52
ERR424156 54
ERR424285 36
ERR424238 53
ERR424189 36
ERR424243 38
ERR424223 58
ERR424147 31
ERR424122 50
ERR424142 55
ERR424132 46
ERR424131 46
ERR424192 56
ERR424177 50
ERR424152 62
ERR424109 50
ERR424138 55
ERR424104 48
ERR424146 50
ERR424201 47
ERR424236 59
ERR424137 55
ERR424230 52
ERR424128 56
ERR424133 50
ERR424237 60
ERR424207 25
ERR424139 61
ERR424227 48
ERR424143 51
ERR424240 46
ERR424245 57
ERR424148 55
ERR424170 33
ERR424140 61
ERR424241 55
ERR424144 50
ERR424141 62
ERR424282 41
ERR424233 55
ERR424239 51
ERR439424 82
ERR439405 71
ERR439465 83
ERR439430 73
ERR439427 83
ERR439394 82
ERR439449 83
ERR439437 82
ERR439490 83
ERR439471 49
ERR439375 82
ERR439403 83
ERR439439 61
ERR439442 81
ERR439401 83
ERR439423 82
ERR439436 83
ERR439376 82
ERR439382 78
ERR439494 83
ERR439397 82
ERR439514 83
ERR439518 83
ERR439383 82
ERR439443 82
ERR439433 75
ERR439389 82
ERR439379 82
ERR439451 83
ERR439413 81
ERR439419 83
ERR439417 83
ERR439411 83
ERR439418 82
ERR439486 83
ERR439395 82
ERR439447 82
ERR439393 82
ERR439432 42
ERR439429 83
ERR439456 68
ERR439387 80
ERR439412 82
ERR439461 83
ERR439459 83
ERR439400 82
ERR439407 82
ERR439391 69
ERR439475 46
ERR439425 82
ERR439448 82
ERR439508 51
ERR439488 51
ERR439441 82
ERR439416 73
ERR439388 83
ERR439445 82
ERR439406 82
ERR439431 82
ERR439435 81
ERR439460 82
ERR439483 49
ERR439409 83
ERR439495 45
ERR439438 72
ERR439390 72
ERR439455 82
ERR439510 83
ERR439385 71
ERR439479 50
ERR439466 83
ERR439468 69
ERR439462 74
ERR439454 82
ERR439380 68
ERR439444 47
ERR439381 82
ERR439491 55
ERR439506 83
ERR439502 72
ERR439517 82
ERR439511 46
ERR439487 49
ERR439457 83
ERR439408 69
ERR439414 77
ERR439453 70
ERR439422 82
ERR439402 57
ERR439377 82
ERR439500 48
ERR439472 51
ERR439396 46
ERR439426 53
ERR439482 83
ERR439498 83
ERR439399 83
ERR439450 58
ERR439492 68
ERR439503 50
ERR439477 83
ERR439410 83
ERR439476 49
ERR439504 52
ERR439484 50
ERR439496 50
ERR439378 51
ERR439493 82
ERR439512 47
ERR439473 80
ERR439497 82
ERR439428 72
ERR439386 69
ERR439516 63
ERR439421 82
ERR439499 46
ERR439501 83
ERR439404 71
ERR439467 83
ERR439452 70
ERR439384 46
ERR439481 83
ERR439474 83
ERR439470 82
ERR439489 72
ERR439420 66
ERR439469 82
ERR439485 82
ERR439478 74
ERR439463 83
ERR439415 83
ERR439392 82
ERR439505 83
ERR439507 45
ERR439398 82
ERR439509 83
ERR439515 58
ERR439464 73
ERR439480 51
ERR439458 82
ERR439440 83
ERR439446 82
ERR439434 70
ERR439513 75
ERR491756 83
ERR491755 83
ERR491758 83
ERR491757 83
ERR571794 25
ERR571793 25
ERR575944 60
ERR575938 79
ERR575989 26
ERR575974 83
ERR576009 79
ERR576015 80
ERR575971 81
ERR576001 80
ERR576007 79
ERR575962 81
ERR576022 80
ERR575941 29
ERR576012 81
ERR576016 81
ERR575963 83
ERR576028 82
ERR575998 80
ERR576013 30
ERR576004 80
ERR576010 81
ERR575975 34
ERR576027 83
ERR575992 58
ERR575982 79
ERR575949 81
ERR575956 80
ERR575950 79
ERR575983 31
ERR576018 83
ERR575939 82
ERR575933 83
ERR576019 83
ERR575946 81
ERR575947 82
ERR575965 24
ERR575973 81
ERR575942 36
ERR575986 80
ERR575968 82
ERR575961 81
ERR575981 83
ERR575993 80
ERR575945 81
ERR576017 83
ERR576024 81
ERR576005 81
ERR576011 83
ERR575955 81
ERR576003 81
ERR576021 82
ERR575964 80
ERR575996 80
ERR575980 81
ERR576006 82
ERR576000 81
ERR575976 83
ERR576023 33
ERR575967 81
ERR575957 81
ERR575940 65
ERR575988 68
ERR576026 81
ERR575979 81
ERR575985 82
ERR576014 77
ERR575958 81
ERR576025 83
ERR575970 83
ERR576008 81
ERR575952 82
ERR575999 81
ERR575969 83
ERR575959 80
ERR575990 29
ERR575995 81
ERR575991 81
ERR575937 82
ERR576020 80
ERR575948 81
ERR575987 80
ERR575935 29
ERR575984 79
ERR575951 81
ERR575953 79
ERR575934 79
ERR575997 81
ERR575977 83
ERR576002 79
ERR575994 80
ERR575960 82
ERR575943 80
ERR575966 78
ERR575978 82
ERR575972 81
ERR575936 80
ERR575954 78
ERR1007851 14
ERR1007854 1
ERR1007855 21
ERR1007862 2
ERR1007857 14
ERR1007853 13
ERR1007865 14
ERR1007856 2
ERR1007861 13
ERR1007863 22
ERR1007859 15
ERR1007860 1
SRR593274 25
SRR593277 25
SRR651660 25
SRR651661 25
SRR869385 25
SRR870468 25
SRR830339 25
SRR873418 25
SRR869386 25
SRR827564 25
SRR830373 25
SRR873415 25
SRR869389 25
SRR869388 25
SRR830381 25
SRR830380 25
SRR863097 25
SRR868705 25
SRR870469 25
SRR868708 25
SRR830377 25
SRR866497 25
SRR868707 25
SRR866501 25
SRR827541 25
SRR873417 25
SRR873416 25
SRR868696 25
SRR835749 25
SRR834909 25
SRR834910 25
SRR866500 25
SRR847420 25
SRR826421 25
SRR866498 25
SRR835748 25
SRR830781 25
SRR863096 25
SRR873414 25
SRR827559 25
SRR834912 25
SRR827540 25
SRR866499 25
SRR868704 25
SRR863095 25
SRR826418 25
SRR847422 25
SRR834908 25
SRR826426 25
SRR870471 25
SRR828627 25
SRR827561 25
SRR834911 25
SRR830375 25
SRR863214 25
SRR869387 25
SRR826424 25
SRR870470 25
SRR826414 25
SRR822845 25
SRR827563 25
SRR833326 25
SRR836240 25
SRR927448 25
SRR833710 25
SRR863215 25
SRR827538 25
SRR927450 25
SRR838902 25
SRR867590 25
SRR826420 25
SRR838904 25
SRR835294 25
SRR834913 25
SRR833711 25
SRR827566 25
SRR826423 25
SRR826417 25
SRR838901 25
SRR830382 25
SRR822857 25
SRR867588 25
SRR830383 25
SRR822850 25
SRR835291 25
SRR827560 25
SRR827567 25
SRR827539 25
SRR838903 25
SRR826425 25
SRR833328 25
SRR867589 25
SRR923747 25
SRR835958 25
SRR836242 25
SRR835961 25
SRR833709 25
SRR835290 25
SRR830374 25
SRR827558 25
SRR838886 25
SRR830783 25
SRR830782 25
SRR923746 25
SRR830379 25
SRR830378 25
SRR923698 25
SRR833327 25
SRR826422 25
SRR835293 25
SRR833712 25
SRR830780 25
SRR826413 25
SRR927447 25
SRR924151 25
SRR924153 25
SRR830376 25
SRR867592 25
SRR822847 25
SRR934053 25
SRR923697 25
SRR835289 25
SRR833325 25
SRR830784 25
SRR827562 25
SRR833324 25
SRR826416 25
SRR822856 25
SRR924158 25
SRR923744 25
SRR934051 25
SRR833708 25
SRR927445 25
SRR923748 25
SRR826415 25
SRR826419 25
SRR847418 25
SRR836207 25
SRR822852 25
SRR822849 25
SRR934035 25
SRR924155 25
SRR924160 25
SRR927442 25
SRR923743 25
SRR828625 25
SRR827557 25
SRR822846 25
SRR836239 25
SRR828628 25
SRR924159 25
SRR924152 25
SRR822851 25
SRR835959 25
SRR924157 25
SRR924156 25
SRR836205 25
SRR822855 25
SRR934056 25
SRR870472 25
SRR924154 25
SRR822853 25
SRR828626 25
SRR847419 25
SRR934037 25
SRR867591 25
SRR934058 25
SRR847421 25
SRR836235 25
SRR822848 25
SRR835746 25
SRR828624 25
SRR835960 25
SRR927449 25
SRR822844 25
SRR934036 25
SRR836236 25
SRR836211 25
SRR927453 25
SRR836210 25
SRR927444 25
SRR934055 25
SRR835962 25
SRR927446 25
SRR822843 25
SRR934054 25
SRR934052 25
SRR923700 25
SRR923745 25
SRR836209 25
SRR923699 25
SRR835747 25
SRR835750 25
SRR925765 93
SRR925748 93
SRR925767 93
SRR925749 93
SRR925746 93
SRR925803 93
SRR925743 93
SRR925751 93
SRR925754 93
SRR925745 93
SRR925758 93
SRR925812 93
SRR925750 93
SRR925764 93
SRR925817 93
SRR925816 93
SRR925814 93
SRR925815 93
SRR925752 93
SRR925785 93
SRR925763 93
SRR925744 93
SRR925813 93
SRR925800 93
SRR925791 93
SRR925786 93
SRR925792 93
SRR925766 93
SRR925784 93
SRR925759 93
SRR925808 93
SRR925807 93
SRR925804 93
SRR925779 93
SRR925774 93
SRR925789 93
SRR925778 93
SRR925781 93
SRR925776 93
SRR925777 93
SRR925810 93
SRR925805 93
SRR925756 93
SRR925772 93
SRR925790 93
SRR925787 93
SRR925780 93
SRR925768 93
SRR925775 93
SRR925806 93
SRR925783 91
SRR925782 93
SRR925773 92
SRR925747 93
SRR925795 93
SRR925811 93
SRR925769 93
SRR925793 93
SRR925809 93
SRR925762 93
SRR925760 93
SRR925788 93
SRR925753 93
SRR925771 93
SRR925761 93
SRR925755 93
SRR925796 93
SRR925797 93
SRR925802 93
SRR925757 93
SRR925770 93
SRR925799 93
SRR925801 93
SRR925794 93
SRR925798 93
SRR1021798 25
SRR1021760 45
SRR1021759 25
SRR1021761 45
SRR1021795 25
SRR1021799 25
SRR1021758 25
SRR1021797 25
SRR1021770 25
SRR1021781 45
SRR1021772 25
SRR1021757 25
SRR1021791 25
SRR1021785 45
SRR1021755 45
SRR1021763 45
SRR1021749 25
SRR1021752 45
SRR1021803 25
SRR1021754 45
SRR1021796 25
SRR1021750 25
SRR1021764 45
SRR1021751 45
SRR1021768 45
SRR1021769 45
SRR1021767 25
SRR1021802 25
SRR1021782 25
SRR1021748 25
SRR1021787 25
SRR1021762 45
SRR1021790 25
SRR1021766 25
SRR1021747 25
SRR1021792 25
SRR1021765 25
SRR1021784 25
SRR1021804 25
SRR1021777 25
SRR1021753 45
SRR1021774 45
SRR1021789 25
SRR1021794 25
SRR1021806 25
SRR1021793 25
SRR1021800 25
SRR1021788 25
SRR1021808 25
SRR1021778 25
SRR1021801 25
SRR1021780 45
SRR1021807 25
SRR1021756 25
SRR1021773 45
SRR1021775 45
SRR1021779 45
SRR1021771 25
SRR1021783 25
SRR1021805 25
SRR1021786 45
SRR1021776 45
SRR1105804 25
SRR1105811 25
SRR1105815 25
SRR1105809 25
SRR1105812 25
SRR1105810 25
SRR1105807 25
SRR1105816 25
SRR1105813 25
SRR1105820 25
SRR1105805 25
SRR1105817 24
SRR1105806 25
SRR1105808 25
SRR1105819 25
SRR1105818 25
SRR1105802 25
SRR1105803 25
SRR1105814 25
SRR1124891 25
SRR1124880 25
SRR1124856 25
SRR1124864 25
SRR1124877 25
SRR1124884 25
SRR1124885 25
SRR1124861 25
SRR1124886 25
SRR1124894 25
SRR1124893 25
SRR1124892 25
SRR1124870 25
SRR1124855 25
SRR1124881 25
SRR1124896 25
SRR1124890 25
SRR1124887 25
SRR1124868 25
SRR1124852 25
SRR1124851 25
SRR1124858 25
SRR1124895 25
SRR1124883 25
SRR1124878 25
SRR1124897 25
SRR1124882 25
SRR1124876 25
SRR1124860 25
SRR1124898 25
SRR1124859 25
SRR1124879 25
SRR1124857 25
SRR1124875 25
SRR1124854 25
SRR1124863 25
SRR1124874 25
SRR1124865 25
SRR1124866 25
SRR1124867 25
SRR1124889 25
SRR1124869 25
SRR1124853 25
SRR1124862 25
SRR1124873 25
SRR1124872 25
SRR1124888 25
SRR1124871 25
SRR1124899 25
SRR1105627 25
SRR1105626 25
SRR1105628 25
SRR1105629 25
SRR1105624 24
SRR1105625 25
SRR1105855 25
SRR1105852 25
SRR1105853 25
SRR1105856 25
SRR1105860 25
SRR1105859 25
SRR1105851 25
SRR1105850 25
SRR1105858 25
SRR1105854 25
SRR1105849 25
SRR1105857 25
SRR1132342 93
SRR1132344 93
SRR1132341 93
SRR1132340 93
SRR1132343 93
SRR1166882 25
SRR1166883 25
SRR1166881 25
SRR1238492 25
SRR1609290 25
SRR1388527 25
SRR1377050 25
SRR1593516 25
SRR1593515 25
SRR1593513 25
SRR1593514 25
SRR1608251 25
SRR1608137 25
SRR1608238 25
SRR1608134 25
SRR1608302 25
SRR1608258 25
SRR1608234 25
SRR1608228 25
SRR1608202 84
SRR1608231 25
SRR1608304 83
SRR1608152 25
SRR1608253 25
SRR1608125 83
SRR1608205 83
SRR1608287 25
SRR1608285 25
SRR1608265 25
SRR1608289 25
SRR1608284 25
SRR1608239 25
SRR1608237 25
SRR1608233 25
SRR1608252 25
SRR1608174 25
SRR1608166 25
SRR1608135 25
SRR1608292 81
SRR1608211 83
SRR1608291 82
SRR1608133 25
SRR1608148 25
SRR1608193 25
SRR1608232 25
SRR1608236 25
SRR1608230 25
SRR1608261 25
SRR1608243 25
SRR1608244 25
SRR1608138 25
SRR1608257 25
SRR1608136 25
SRR1608150 25
SRR1608207 64
SRR1608259 25
SRR1608283 25
SRR1608144 25
SRR1608235 25
SRR1608223 25
SRR1608226 25
SRR1608224 25
SRR1608175 25
SRR1608290 25
SRR1608158 25
SRR1608173 25
SRR1608127 84
SRR1608250 25
SRR1608201 25
SRR1608191 25
SRR1608142 25
SRR1608132 25
SRR1608282 25
SRR1608227 25
SRR1608256 25
SRR1608293 83
SRR1608153 25
SRR1608156 25
SRR1608307 25
SRR1608159 25
SRR1608245 25
SRR1608216 83
SRR1608177 25
SRR1608264 25
SRR1608217 83
SRR1608229 25
SRR1608246 25
SRR1608225 25
SRR1608176 25
SRR1608286 25
SRR1608288 25
SRR1608219 84
SRR1608222 25
SRR1608121 84
SRR1608214 25
SRR1608194 25
SRR1608195 25
SRR1608280 25
SRR1608241 25
SRR1608281 25
SRR1608128 25
SRR1608124 82
SRR1608254 25
SRR1608300 84
SRR1608178 25
SRR1608157 25
SRR1608161 25
SRR1608306 84
SRR1608249 25
SRR1608198 81
SRR1608242 25
SRR1608215 83
SRR1608167 25
SRR1608147 25
SRR1608140 25
SRR1608165 25
SRR1608131 25
SRR1608139 25
SRR1608247 25
SRR1608126 82
SRR1608123 78
SRR1608209 82
SRR1608204 84
SRR1608172 25
SRR1608187 25
SRR1608276 25
SRR1608168 25
SRR1608164 25
SRR1608129 25
SRR1608248 25
SRR1608269 25
SRR1608160 25
SRR1608180 25
SRR1608192 25
SRR1608206 83
SRR1608149 25
SRR1608197 84
SRR1608266 25
SRR1608170 25
SRR1608130 25
SRR1608240 25
SRR1608151 25
SRR1608272 25
SRR1608162 25
SRR1608308 25
SRR1608122 82
SRR1608210 51
SRR1608297 81
SRR1608296 82
SRR1608196 25
SRR1608218 84
SRR1608199 84
SRR1608169 25
SRR1608184 25
SRR1608271 25
SRR1608181 25
SRR1608141 25
SRR1608155 25
SRR1608163 25
SRR1608299 41
SRR1608143 25
SRR1608221 84
SRR1608213 25
SRR1608182 25
SRR1608208 25
SRR1608263 25
SRR1608171 25
SRR1608279 25
SRR1608274 25
SRR1608275 25
SRR1608270 25
SRR1608146 25
SRR1608277 25
SRR1608301 82
SRR1608200 83
SRR1608203 78
SRR1608154 25
SRR1608298 84
SRR1608273 25
SRR1608255 25
SRR1608305 84
SRR1608295 25
SRR1608179 25
SRR1608303 28
SRR1608212 42
SRR1608267 25
SRR1608145 25
SRR1608186 25
SRR1608262 25
SRR1608260 25
SRR1608278 25
SRR1608294 84
SRR1608268 25
SRR1608190 25
SRR1608188 25
SRR1608189 25
SRR1608220 83
SRR1608183 25
SRR1608185 25
SRR1646742 24
SRR1646714 24
SRR1654371 25
SRR1656955 24
SRR1657015 24
SRR1656958 24
SRR1656686 24
SRR1656613 24
SRR1656685 24
SRR2496718 85
SRR1656737 24
SRR1657062 24
SRR1656957 24
SRR1656739 24
SRR1656803 24
SRR1656602 24
SRR1656804 24
SRR1656969 24
SRR2496729 84
SRR1656740 24
SRR1656607 24
SRR1656741 24
SRR1656953 24
SRR1656592 24
SRR2496720 85
SRR1657055 24
SRR1656984 24
SRR1657064 24
SRR2496724 84
SRR2496723 85
SRR2496728 84
SRR2496727 85
SRR1656954 24
SRR2496715 85
SRR1656738 24
SRR1657014 24
SRR1656742 24
SRR1656970 24
SRR1657010 24
SRR1656731 24
SRR2496730 84
SRR2496721 85
SRR2496717 84
SRR1656605 24
SRR1656950 24
SRR2496714 85
SRR1656800 24
SRR1656601 24
SRR1657120 24
SRR1656591 24
SRR2496725 85
SRR1656603 24
SRR2496716 85
SRR1656454 24
SRR1656736 24
SRR2496719 84
SRR1657016 24
SRR1654380 25
SRR1656952 24
SRR1656611 24
SRR2496726 85
SRR1657012 24
SRR1654348 25
SRR1656693 24
SRR1655190 24
SRR2496685 24
SRR2496674 24
SRR2496683 24
SRR1656609 24
SRR2496722 85
SRR1657011 24
SRR1657013 24
SRR1654347 25
SRR1657009 24
SRR1656801 24
SRR1656799 24
SRR1657069 24
SRR1657095 24
SRR1656956 24
SRR1656728 24
SRR1656729 24
SRR1656730 24
SRR2496713 85
SRR1656802 24
SRR2496677 24
SRR2496676 24
SRR1656461 24
SRR1657005 24
SRR1654383 25
SRR1656684 24
SRR1656961 24
SRR1656964 24
SRR1656683 24
SRR1657071 24
SRR1656797 24
SRR2496675 24
SRR1656727 24
SRR1657007 24
SRR1656691 24
SRR1656798 24
SRR2496672 24
SRR2496681 24
SRR1656959 24
SRR1656744 24
SRR2496678 24
SRR2496682 24
SRR2496679 24
SRR1656743 24
SRR1657006 24
SRR1657067 24
SRR1656615 24
SRR2496680 24
SRR1656687 24
SRR2496673 24
SRR1657066 24
SRR2496684 24
SRR2496712 85
SRR1656690 24
SRR1736544 93
SRR1736528 93
SRR1736530 93
SRR1736536 93
SRR1736612 93
SRR1736613 93
SRR1736534 93
SRR1736531 93
SRR1736542 93
SRR1736605 93
SRR1736616 93
SRR1736598 93
SRR1736543 93
SRR1736604 93
SRR1736545 93
SRR1736533 93
SRR1736539 93
SRR1736601 93
SRR1736541 93
SRR1736532 93
SRR1736617 93
SRR1736547 93
SRR1736537 93
SRR1736540 93
SRR1736594 93
SRR1736535 93
SRR1736529 93
SRR1736549 93
SRR1736614 93
SRR1817857 25
SRR1736548 93
SRR1736609 93
SRR1736591 93
SRR1736546 93
SRR1781805 25
SRR1802977 24
SRR1802976 24
SRR1802958 24
SRR1802969 24
SRR1802968 24
SRR1802954 24
SRR1802978 24
SRR1802974 24
SRR1802975 24
SRR1802973 24
SRR1802959 24
SRR1802963 24
SRR1802980 24
SRR1802961 24
SRR1802966 24
SRR1802964 24
SRR1802970 24
SRR1802971 24
SRR1802960 24
SRR1802965 24
SRR1802956 24
SRR1802979 24
SRR1802957 24
SRR1802962 24
SRR1802972 24
SRR1802967 24
SRR1802955 24
SRR1802863 24
SRR1802888 24
SRR1802868 24
SRR1802909 24
SRR1802901 24
SRR1802862 24
SRR1802864 24
SRR1802867 24
SRR1802910 24
SRR1802912 24
SRR1802877 24
SRR1802870 24
SRR1802908 24
SRR1802898 24
SRR1802861 24
SRR1802917 24
SRR1802866 24
SRR1802871 24
SRR1802885 24
SRR1802916 24
SRR1802872 24
SRR1802915 24
SRR1802904 24
SRR1802886 24
SRR1802874 24
SRR1802911 24
SRR1802873 24
SRR1802905 24
SRR1802882 24
SRR1802879 24
SRR1802899 24
SRR1802889 24
SRR1802914 24
SRR1802878 24
SRR1802887 24
SRR1802865 24
SRR1802859 24
SRR1802860 24
SRR1802900 24
SRR1802907 24
SRR1802881 24
SRR1802891 24
SRR1802913 24
SRR1802883 24
SRR1802884 24
SRR1802906 24
SRR1802880 24
SRR1802876 24
SRR1802890 24
SRR1802892 24
SRR1802869 24
SRR1802903 24
SRR1802902 24
SRR1802875 24
SRR1802895 24
SRR1802897 24
SRR1802893 24
SRR1802894 24
SRR1802896 24
SRR1928000 25
SRR1982566 25
SRR1982530 25
SRR1982484 25
SRR1982571 25
SRR1982553 25
SRR1982474 25
SRR1982560 25
SRR1982549 25
SRR1982532 25
SRR1982546 25
SRR1982524 25
SRR1982529 25
SRR1982580 25
SRR1982568 25
SRR1982552 25
SRR1982470 25
SRR1982489 25
SRR1982488 25
SRR1982525 25
SRR1982548 25
SRR1982476 25
SRR1982469 25
SRR1982507 25
SRR1982578 25
SRR1982559 25
SRR1982527 25
SRR1982557 25
SRR1982550 25
SRR1982510 25
SRR1982554 25
SRR1982562 25
SRR1982569 25
SRR1982576 25
SRR1982572 25
SRR1982533 25
SRR1982478 25
SRR1982531 25
SRR1982539 25
SRR1982473 25
SRR1982577 25
SRR1982471 25
SRR1982508 25
SRR1982542 25
SRR1982582 25
SRR1982564 25
SRR1982547 25
SRR1982528 25
SRR1982487 25
SRR1982522 25
SRR1982565 25
SRR1982483 25
SRR1982551 25
SRR1982477 25
SRR1982543 25
SRR1982475 25
SRR1982579 25
SRR1982540 25
SRR1982570 25
SRR1982526 25
SRR1982521 25
SRR1982563 25
SRR1982534 25
SRR1982503 25
SRR1982509 25
SRR1982511 25
SRR1982482 25
SRR1982545 25
SRR1982472 25
SRR1982523 25
SRR1982541 25
SRR1982555 25
SRR1982567 25
SRR1982561 25
SRR1982486 25
SRR1982495 25
SRR1982480 25
SRR1982506 25
SRR1982479 25
SRR1982518 25
SRR1982581 25
SRR1982520 25
SRR1982575 25
SRR1982573 25
SRR1982491 25
SRR1982481 25
SRR1982499 25
SRR1982537 25
SRR1982512 25
SRR1982536 25
SRR1982505 25
SRR1982501 25
SRR1982494 25
SRR1982538 25
SRR1982544 25
SRR1982574 25
SRR1982504 25
SRR1982515 25
SRR1982519 25
SRR1982496 25
SRR1982558 25
SRR1982502 25
SRR1982500 25
SRR1982493 25
SRR1982516 25
SRR1982556 25
SRR1982490 25
SRR1982485 25
SRR1982514 25
SRR1982492 25
SRR1982497 25
SRR1982517 25
SRR1982513 25
SRR1982535 25
SRR1982498 25
SRR2041731 23
SRR2041735 24
SRR2041724 23
SRR2041721 23
SRR2041730 23
SRR2041734 24
SRR2041728 23
SRR2041725 24
SRR2041733 23
SRR2041723 23
SRR2041737 24
SRR2041726 24
SRR2041722 23
SRR2041729 24
SRR2041732 23
SRR2041727 23
SRR2041736 24
SRR2040369 84
SRR2040352 83
SRR2040356 84
SRR2040371 84
SRR2040370 84
SRR2040360 84
SRR2040358 83
SRR2040357 84
SRR2040353 84
SRR2040373 84
SRR2040340 84
SRR2040342 82
SRR2040354 84
SRR2040365 84
SRR2040372 82
SRR2040351 84
SRR2040350 84
SRR2040355 83
SRR2040346 83
SRR2040343 84
SRR2040345 82
SRR2040339 84
SRR2040361 83
SRR2040359 83
SRR2040344 81
SRR2040366 84
SRR2040363 83
SRR2040367 83
SRR2040347 83
SRR2040341 84
SRR2040362 83
SRR2040368 84
SRR2040348 84
SRR2040349 84
SRR2040364 83
SRR2067534 25
SRR2067532 25
SRR2067531 25
SRR2067495 25
SRR2067529 25
SRR2067527 25
SRR2067519 25
SRR2067494 25
